
Bitcoin,BTC,1
Litecoin,LTC,2
Namecoin,NMC,3
Terracoin,TRC,4
Peercoin,PPC,5
Novacoin,NVC,6
Feathercoin,FTC,8
Mincoin,MNC,9
Freicoin,FRC,10
Ixcoin,IXC,13
BitBar,BTB,14
WorldCoin,WDC,16
Digitalcoin,DGC,18
GoldCoin,GLD,25
Argentum,ARG,31
Fastcoin,FST,32
Bitgem,BTG,34
Phoenixcoin,PXC,35
Megacoin,MEC,37
Infinitecoin,IFC,41
Primecoin,XPM,42
Anoncoin,ANC,43
CasinoCoin,CSC,45
Bullion,CBX,49
Emerald Crypto,EMD,50
GlobalCoin,GLC,51
Ripple,XRP,52
Quark,QRK,53
Zetacoin,ZET,56
SecureCoin,SRC,57
Sexcoin,SXC,58
TagCoin,TAG,61
I0Coin,I0C,63
FlorinCoin,FLO,64
Nxt,NXT,66
Unobtanium,UNO,67
Joulecoin,XJO,68
Datacoin,DTC,69
BetaCoin,BET,70
GrandCoin,GDC,71
Deutsche eMark,DEM,72
Dogecoin,DOGE,74
NetCoin,NET,75
Philosopher Stones,PHS,76
Diamond,DMD,77
HoboNickels,HBN,78
Tigercoin,TGC,79
Orbitcoin,ORB,80
Omni,OMNI,83
Catcoin,CAT,84
FedoraCoin,TIPS,87
RonPaulCoin,RPC,88
Mooncoin,MOON,89
Dimecoin,DIME,90
42-coin,42,93
Vertcoin,VTC,99
KlondikeCoin,KDC,101
RedCoin,RED,103
DigiByte,DGB,109
SmartCoin,SMC,113
TeslaCoin,TES,114
Karmacoin,KARMA,116
NobleCoin,NOBL,117
ReddCoin,RDD,118
Nyancoin,NYAN,120
UltraCoin,UTC,121
PotCoin,POT,122
Blakecoin,BLC,125
MaxCoin,MAX,128
QubitCoin,Q2C,129
HunterCoin,HUC,130
Dash,DASH,131
Counterparty,XCP,132
CacheCoin,CACH,134
TopCoin,TOP,135
iCoin,ICN,138
Mintcoin,MINT,141
Aricoin,ARI,142
DopeCoin,DOPE,145
Auroracoin,AUR,148
Animecoin,ANI,150
Pesetacoin,PTC,151
Marscoin,MARS,154
Cashcoin,CASH,159
Riecoin,RIC,160
Pandacoin,PND,161
MAZA,MZC,164
Uniform Fiscal Object,UFO,168
BlackCoin,BLK,170
LiteBar,LTB,174
Photon,PHO,175
Zeitcoin,ZEIT,181
Myriad,XMY,182
Skeincoin,SKC,199
Einsteinium,EMC2,201
Bitcoin Scrypt,BTCS,205
Coin(O),CNO,206
ECC,ECC,212
MonaCoin,MONA,213
Rubycoin,RBY,215
Bela,BELA,217
FlutterCoin,FLT,218
OctoCoin,888,221
FairCoin,FAIR,224
SolarCoin,SLR,233
e-Gulden,EFL,234
Gulden,NLG,254
Polcoin,PLC,257
Groestlcoin,GRS,258
PetroDollar,XPD,260
PLNcoin,PLNC,263
WhiteCoin,XWC,268
AsiaCoin,AC,269
PopularCoin,POP,275
Bitstar,BITS,276
Quebecoin,QBC,278
CannaCoin,CCN,279
Slothcoin,SLOTH,287
BlueCoin,BLU,290
MaidSafeCoin,MAID,291
Bitcoin Plus,XBC,293
BTCtalkcoin,TALK,295
NewYorkCoin,NYC,298
Canada eCoin,CDN,304
Guncoin,GUN,312
PinkCoin,PINK,313
Dreamcoin,DRM,316
CoffeeCoin,CFC,317
Energycoin,ENRG,322
VeriCoin,VRC,323
TEKcoin,TEK,325
Monero,XMR,328
Litecoin Plus,LCP,331
Curecoin,CURE,333
UnbreakableCoin,UNB,334
CryptCoin,CRYPT,337
QuazarCoin,QCN,338
SuperCoin,SUPER,341
Qora,QORA,344
BoostCoin,BOST,350
Hyper,HYPER,353
BitQuark,BTQ,356
Motocoin,MOTO,360
CloakCoin,CLOAK,362
BitSend,BSD,366
Coin2.1,C2,367
Fantomcoin,FCN,370
Bytecoin,BCN,372
ArtByte,ABY,374
NavCoin,NAV,377
Uro,URO,380
Granite,GRN,382
Donationcoin,DON,385
Piggycoin,PIGGY,386
Startcoin,START,389
Kore,KORE,400
DigitalNote,XDN,405
Boolberry,BBR,406
SHACoin,SHA,411
BlazeCoin,BLZ,415
HempCoin,THC,416
BritCoin,BRIT,426
Stealth,XST,448
TrustPlus,TRUST,450
Clams,CLAM,460
Quatloo,QTL,461
BitShares,BTS,463
BitcoinDark,BTCD,467
Truckcoin,TRK,468
